# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.001         	7.301479e-08	1.688655e+03	-5.435494e-03	-2.717674e-03	-2.717820e-03
0.002         	6.378005e-08	-4.398634e+01	3.713368e-03	1.856748e-03	1.856620e-03
0.003         	4.582044e-08	4.141472e+01	6.253582e-04	3.127249e-04	3.126333e-04
0.004         	3.992809e-08	3.345822e+01	5.675856e-04	2.838327e-04	2.837529e-04
0.005         	3.306070e-08	3.267835e+01	2.128003e-04	1.064332e-04	1.063671e-04
0.006         	2.911247e-08	3.131010e+01	1.321484e-04	6.610332e-05	6.604510e-05
0.007         	2.575962e-08	3.011392e+01	9.524254e-05	4.764703e-05	4.759551e-05
0.008         	2.108357e-08	2.900962e+01	7.286855e-05	3.645536e-05	3.641319e-05
0.009         	1.673608e-08	2.799675e+01	6.580055e-05	3.291701e-05	3.288354e-05
0.01          	1.269480e-08	2.706164e+01	5.626797e-05	2.814668e-05	2.812129e-05
0.011         	8.992173e-09	2.619394e+01	4.911135e-05	2.456467e-05	2.454668e-05
0.012         	5.621230e-09	2.538501e+01	4.167729e-05	2.084427e-05	2.083302e-05
0.013         	2.575529e-09	2.462805e+01	3.361860e-05	1.681187e-05	1.680672e-05
0.014         	-1.582166e-10	2.391760e+01	2.780958e-05	1.390463e-05	1.390495e-05
0.015         	-2.609212e-09	2.324923e+01	2.208615e-05	1.104047e-05	1.104569e-05
0.016         	-4.797736e-09	2.261922e+01	1.659277e-05	8.291586e-06	8.301182e-06
0.017         	-6.746391e-09	2.202443e+01	1.408885e-05	7.037678e-06	7.051171e-06
0.018         	-8.487218e-09	2.146213e+01	1.049676e-05	5.239892e-06	5.256866e-06
0.019         	-1.003296e-08	2.092990e+01	7.025161e-06	3.502548e-06	3.522614e-06
0.02          	-1.140434e-08	2.042562e+01	4.912507e-06	2.444849e-06	2.467658e-06
0.021         	-1.220724e-08	1.994734e+01	1.076560e-06	5.260727e-07	5.504872e-07
0.022         	-1.290365e-08	1.949334e+01	2.684538e-06	1.329365e-06	1.355173e-06
0.023         	-1.351891e-08	1.906202e+01	1.045948e-07	3.877849e-08	6.581631e-08
0.024         	-1.404969e-08	1.865193e+01	-1.148969e-06	-5.885344e-07	-5.604350e-07
0.025         	-1.450841e-08	1.826175e+01	-2.450174e-06	-1.239596e-06	-1.210579e-06
0.026         	-1.490611e-08	1.789024e+01	-2.539898e-06	-1.284855e-06	-1.255043e-06
0.027         	-1.525155e-08	1.753625e+01	-3.524464e-06	-1.777483e-06	-1.746980e-06
0.028         	-1.554880e-08	1.719873e+01	-3.923107e-06	-1.977102e-06	-1.946004e-06
0.029         	-1.580396e-08	1.687672e+01	-4.809174e-06	-2.420391e-06	-2.388783e-06
0.03          	-1.602249e-08	1.656930e+01	-4.520883e-06	-2.276464e-06	-2.244419e-06
0.031         	-1.621130e-08	1.627562e+01	-5.104550e-06	-2.568486e-06	-2.536063e-06
0.032         	-1.636976e-08	1.599490e+01	-5.384264e-06	-2.708502e-06	-2.675762e-06
0.033         	-1.650293e-08	1.572641e+01	-6.098946e-06	-3.065976e-06	-3.032970e-06
0.034         	-1.661337e-08	1.546944e+01	-6.260742e-06	-3.146984e-06	-3.113758e-06
0.035         	-1.670639e-08	1.522336e+01	-6.036253e-06	-3.034833e-06	-3.001420e-06
0.036         	-1.678383e-08	1.498757e+01	-5.830154e-06	-2.931861e-06	-2.898293e-06
0.037         	-1.684668e-08	1.476151e+01	-6.087097e-06	-3.060395e-06	-3.026702e-06
0.038         	-1.689643e-08	1.454465e+01	-5.842294e-06	-2.938043e-06	-2.904250e-06
0.039         	-1.693460e-08	1.433649e+01	-5.862493e-06	-2.948181e-06	-2.914312e-06
0.04          	-1.696209e-08	1.413657e+01	-5.808048e-06	-2.920986e-06	-2.887062e-06
0.041         	-1.698032e-08	1.394445e+01	-5.691418e-06	-2.862689e-06	-2.828729e-06
0.042         	-1.699076e-08	1.375974e+01	-5.366079e-06	-2.700030e-06	-2.666049e-06
0.043         	-1.699402e-08	1.358204e+01	-5.530330e-06	-2.782159e-06	-2.748171e-06
