# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-1.469647e-11	3.083902e+02	1.242251e-06	6.211106e-07	6.211400e-07
0.01          	3.851860e-10	1.052588e+01	-1.996667e-06	-9.979485e-07	-9.987188e-07
0.015         	5.765014e-10	5.227604e+00	7.769130e-07	3.890330e-07	3.878800e-07
0.02          	5.223631e-10	4.293292e+00	-1.656714e-07	-8.231336e-08	-8.335809e-08
0.025         	4.501996e-10	3.912453e+00	9.975439e-08	5.032739e-08	4.942700e-08
0.03          	8.873433e-10	3.711615e+00	1.682727e-07	8.502367e-08	8.324898e-08
0.035         	1.128076e-09	3.583616e+00	1.464876e-07	7.437186e-08	7.211571e-08
0.04          	1.258261e-09	3.488418e+00	-5.332007e-08	-2.540178e-08	-2.791830e-08
0.045         	1.317831e-09	3.409536e+00	-1.819232e-07	-8.964375e-08	-9.227941e-08
0.05          	1.314928e-09	3.339501e+00	4.327917e-08	2.295451e-08	2.032466e-08
0.055         	1.262593e-09	3.274871e+00	6.631487e-08	3.442003e-08	3.189484e-08
0.06          	1.175739e-09	3.213766e+00	1.525240e-07	7.743771e-08	7.508624e-08
0.065         	1.061327e-09	3.155450e+00	5.315572e-08	2.763919e-08	2.551653e-08
0.07          	9.267618e-10	3.099537e+00	4.257762e-08	2.221557e-08	2.036205e-08
0.075         	7.770066e-10	3.045662e+00	3.678319e-08	1.916860e-08	1.761459e-08
0.08          	6.199499e-10	2.993915e+00	2.889519e-08	1.506754e-08	1.382764e-08
0.085         	1.167950e-09	2.944113e+00	-7.438497e-08	-3.602454e-08	-3.836044e-08
0.09          	1.644793e-09	2.896271e+00	-1.060086e-07	-5.135949e-08	-5.464907e-08
0.095         	2.050043e-09	2.850133e+00	-1.131521e-07	-5.452601e-08	-5.862610e-08
0.1           	2.394752e-09	2.805867e+00	-1.312637e-07	-6.323708e-08	-6.802658e-08
0.105         	2.681001e-09	2.763116e+00	-1.374237e-07	-6.603085e-08	-7.139285e-08
0.11          	2.919738e-09	2.722071e+00	-1.517010e-07	-7.293078e-08	-7.877025e-08
0.115         	3.113739e-09	2.682524e+00	-1.609731e-07	-7.737280e-08	-8.360028e-08
0.12          	3.270228e-09	2.644515e+00	-1.694746e-07	-8.146710e-08	-8.800755e-08
0.125         	3.392558e-09	2.608091e+00	-1.758905e-07	-8.455270e-08	-9.133782e-08
0.13          	3.484678e-09	2.573069e+00	-1.811633e-07	-8.709696e-08	-9.406631e-08
0.135         	3.551247e-09	2.539136e+00	-1.947956e-07	-9.384655e-08	-1.009490e-07
0.14          	3.597272e-09	2.506654e+00	-1.934095e-07	-9.310749e-08	-1.003020e-07
0.145         	3.624659e-09	2.475205e+00	-2.054823e-07	-9.911650e-08	-1.063658e-07
0.15          	3.637678e-09	2.445038e+00	-2.154930e-07	-1.041088e-07	-1.113842e-07
0.155         	3.638394e-09	2.416035e+00	-2.158208e-07	-1.042720e-07	-1.115488e-07
0.16          	3.627452e-09	2.388030e+00	-2.142045e-07	-1.034748e-07	-1.107297e-07
0.165         	3.609601e-09	2.361169e+00	-2.220854e-07	-1.074331e-07	-1.146523e-07
0.17          	3.584997e-09	2.335149e+00	-2.355924e-07	-1.142112e-07	-1.213812e-07
0.175         	3.558697e-09	2.310093e+00	-2.324069e-07	-1.126448e-07	-1.197622e-07
0.18          	3.529054e-09	2.285921e+00	-2.407555e-07	-1.168487e-07	-1.239068e-07
0.185         	3.498022e-09	2.262742e+00	-2.300102e-07	-1.115071e-07	-1.185031e-07
0.19          	3.464477e-09	2.240213e+00	-2.537550e-07	-1.234130e-07	-1.303420e-07
0.195         	3.433414e-09	2.218559e+00	-2.459345e-07	-1.195338e-07	-1.264007e-07
0.2           	3.402094e-09	2.197626e+00	-2.470023e-07	-1.200991e-07	-1.269033e-07
0.205         	3.372581e-09	2.177643e+00	-2.511164e-07	-1.221856e-07	-1.289308e-07
0.21          	3.344794e-09	2.158138e+00	-2.495827e-07	-1.214465e-07	-1.281361e-07
0.215         	3.319593e-09	2.139425e+00	-2.504956e-07	-1.219282e-07	-1.285674e-07
0.22          	3.296659e-09	2.121429e+00	-2.655318e-07	-1.294693e-07	-1.360626e-07
0.225         	3.277110e-09	2.103864e+00	-2.503333e-07	-1.218895e-07	-1.284438e-07
0.23          	3.260283e-09	2.087030e+00	-2.598647e-07	-1.266721e-07	-1.331927e-07
0.235         	3.247181e-09	2.070693e+00	-2.640090e-07	-1.287573e-07	-1.352517e-07
0.24          	3.237725e-09	2.054978e+00	-2.722533e-07	-1.328889e-07	-1.393644e-07
0.245         	3.231894e-09	2.039827e+00	-2.655573e-07	-1.295468e-07	-1.360105e-07
0.25          	3.229932e-09	2.025335e+00	-2.711216e-07	-1.323309e-07	-1.387907e-07
0.255         	3.229293e-09	2.011367e+00	-2.785972e-07	-1.360693e-07	-1.425279e-07
0.26          	3.234337e-09	1.997708e+00	-2.839142e-07	-1.387228e-07	-1.451915e-07
0.265         	3.238862e-09	1.984600e+00	-2.788495e-07	-1.361859e-07	-1.426636e-07
0.27          	3.248718e-09	1.971807e+00	-2.843478e-07	-1.389252e-07	-1.454226e-07
0.275         	3.259603e-09	1.959526e+00	-2.897140e-07	-1.415974e-07	-1.481166e-07
0.28          	3.271722e-09	1.947597e+00	-2.833915e-07	-1.384240e-07	-1.449675e-07
0.285         	3.290321e-09	1.936078e+00	-2.784955e-07	-1.359574e-07	-1.425381e-07
0.29          	3.308727e-09	1.924931e+00	-2.851426e-07	-1.392626e-07	-1.458800e-07
0.295         	3.329683e-09	1.914144e+00	-2.809391e-07	-1.371399e-07	-1.437993e-07
0.3           	3.353043e-09	1.903979e+00	-2.770136e-07	-1.351537e-07	-1.418598e-07
0.305         	3.378629e-09	1.893849e+00	-3.851413e-07	-1.891920e-07	-1.959493e-07
0.31          	3.401541e-09	1.884384e+00	-1.881477e-07	-9.067229e-08	-9.747537e-08
0.315         	3.427830e-09	1.875012e+00	-3.786436e-07	-1.858940e-07	-1.927496e-07
0.32          	3.455644e-09	1.865915e+00	-2.829366e-07	-1.380127e-07	-1.449239e-07
0.325         	3.483883e-09	1.857125e+00	-2.838358e-07	-1.384340e-07	-1.454018e-07
0.33          	3.512890e-09	1.848667e+00	-2.832407e-07	-1.381075e-07	-1.451332e-07
0.335         	3.542037e-09	1.840497e+00	-2.841257e-07	-1.385208e-07	-1.456049e-07
0.34          	3.571831e-09	1.832615e+00	-2.774998e-07	-1.351781e-07	-1.423217e-07
0.345         	3.601641e-09	1.825005e+00	-2.786243e-07	-1.357105e-07	-1.429138e-07
0.35          	3.631839e-09	1.817740e+00	-2.822771e-07	-1.375067e-07	-1.447704e-07
0.355         	3.661539e-09	1.810996e+00	-2.809436e-07	-1.368102e-07	-1.441333e-07
0.36          	3.691215e-09	1.804450e+00	-2.807586e-07	-1.366881e-07	-1.440705e-07
0.365         	3.721642e-09	1.797149e+00	-2.920873e-07	-1.423220e-07	-1.497653e-07
0.37          	3.751591e-09	1.789508e+00	-2.808517e-07	-1.366742e-07	-1.441774e-07
0.375         	3.777540e-09	1.782435e+00	-2.862787e-07	-1.393618e-07	-1.469169e-07
0.38          	3.803305e-09	1.776191e+00	-2.727395e-07	-1.325664e-07	-1.401730e-07
